listing_id,farmer_id,crop,variety,quantity_tonnes,price_per_quintal,description,harvest_date,listed_at,cluster,district,taluka,village
L1762,F1119,Cotton,RCH-2 Bt,15.64,9045.4,"Good staple length Cotton, hand-picked, low trash content, ready for ginning.",2025-12-17,2026-05-23,Khandesh,Dhule,Dhule,Songir
L1763,F1120,Soybean,JS 20-29,14.2,5610.39,"Healthy Soybean yield this season, sorted and free of visible damage.",2025-12-14,2026-07-07,Vidarbha,Buldhana,Chikhli,Amdapur
L1764,F1120,Cotton,RCH-2 Bt,11.28,8658.69,"Good staple length Cotton, hand-picked, low trash content, ready for ginning.",2025-10-23,2026-05-21,Vidarbha,Buldhana,Chikhli,Amdapur
L1765,F1121,Tur,BSMR-736,8.0,8192.68,"Well-graded Tur, stored in dry conditions, ready for immediate sale.",2025-12-08,2026-07-23,Vidarbha,Wardha,Wardha,Waigaon
L1766,F1121,Soybean,JS 9560,12.62,5613.97,"Soybean harvest, medium-to-large grade, minimal moisture, farm-fresh.",2024-10-18,2025-11-12,Vidarbha,Wardha,Wardha,Waigaon
L1767,F1122,Groundnut,SB-11,12.44,7677.91,"Groundnut harvest, medium-to-large grade, minimal moisture, farm-fresh.",2024-11-26,2026-06-30,Western Maharashtra (Desh),Kolhapur,Bhudargad,Madilge Bk.
L1768,F1122,Groundnut,SB-11,12.01,7519.57,"Well-graded Groundnut, stored in dry conditions, ready for immediate sale.",2025-11-04,2026-06-17,Western Maharashtra (Desh),Kolhapur,Bhudargad,Madilge Bk.
L1769,F1122,Soybean,JS 9560,15.53,5747.61,"Well-graded Soybean, stored in dry conditions, ready for immediate sale.",2025-10-09,2026-07-03,Western Maharashtra (Desh),Kolhapur,Bhudargad,Madilge Bk.
L1770,F1122,Groundnut,Phule Unnati,10.2,7406.09,"Well-graded Groundnut, stored in dry conditions, ready for immediate sale.",2025-11-09,2026-07-05,Western Maharashtra (Desh),Kolhapur,Bhudargad,Madilge Bk.
L1771,F1123,Jowar,Phule Yashoda,17.16,3623.22,"Healthy Jowar yield this season, sorted and free of visible damage.",2025-10-10,2026-06-10,Vidarbha,Buldhana,Sindkhed Raja,Adgaon Raja
L1772,F1123,Jowar,CSH-16,16.25,5487.14,"Well-graded Jowar, stored in dry conditions, ready for immediate sale.",2025-10-15,2026-05-13,Vidarbha,Buldhana,Sindkhed Raja,Adgaon Raja
L1773,F1124,Jowar,CSH-25,5.61,5620.02,"Well-graded Jowar, stored in dry conditions, ready for immediate sale.",2025-10-27,2026-03-24,Western Maharashtra (Desh),Ahilyanagar (Ahmednagar),Pathardi,Tisgaon
L1774,F1125,Cotton,Ajeet-155 Bt,11.19,8939.86,"Good staple length Cotton, hand-picked, low trash content, ready for ginning.",2025-11-07,2026-08-16,Vidarbha,Buldhana,Buldhana,Dhad
L1775,F1126,Sugarcane,Co 740,54.15,302.96,"Sweet, high-brix Sugarcane, freshly cut, ready for mill delivery.",2025-03-19,2026-06-07,Western Maharashtra (Desh),Pune,Haveli,Agalambe
L1776,F1127,Tur,BDN-711,4.12,6320.94,"Well-graded Tur, stored in dry conditions, ready for immediate sale.",2025-10-06,2026-08-09,Vidarbha,Chandrapur,Pombhurna,Ashta
L1777,F1127,Soybean,MACS 1281,6.51,6184.21,"Healthy Soybean yield this season, sorted and free of visible damage.",2024-10-03,2026-03-18,Vidarbha,Chandrapur,Pombhurna,Ashta
L1778,F1127,Tur,Vipula,6.14,7917.2,"Freshly harvested Tur, good grade, cleaned and ready for pickup.",2025-12-06,2026-07-27,Vidarbha,Chandrapur,Pombhurna,Ashta
L1779,F1128,Tur,BDN-711,7.27,6701.78,"Healthy Tur yield this season, sorted and free of visible damage.",2024-12-19,2026-02-05,Vidarbha,Gondia,Salekasa,Pipariya
L1780,F1128,Rice,IR-64,7.29,4952.84,"Rice harvest, medium-to-large grade, minimal moisture, farm-fresh.",2024-12-10,2026-06-06,Vidarbha,Gondia,Salekasa,Pipariya
L1781,F1129,Tur,BSMR-736,19.7,6544.09,"Tur harvest, medium-to-large grade, minimal moisture, farm-fresh.",2024-11-27,2026-07-08,Vidarbha,Gadchiroli,Sironcha,Asaralli
L1782,F1130,Jowar,CSH-16,1.87,3841.69,"Well-graded Jowar, stored in dry conditions, ready for immediate sale.",2025-12-26,2026-08-19,Western Maharashtra (Desh),Solapur,Solapur South,Akole Mandrup
L1783,F1130,Sugarcane,Co 86032,94.94,560.83,"Sweet, high-brix Sugarcane, freshly cut, ready for mill delivery.",2026-03-15,2026-07-08,Western Maharashtra (Desh),Solapur,Solapur South,Akole Mandrup
L1784,F1131,Cotton,Suraj Bt,6.56,8969.55,"Good staple length Cotton, hand-picked, low trash content, ready for ginning.",2024-11-26,2026-06-26,Khandesh,Jalgaon,Erandol,Anandnagar
L1785,F1131,Cotton,Suraj Bt,9.53,8362.14,"Good staple length Cotton, hand-picked, low trash content, ready for ginning.",2025-10-03,2026-05-25,Khandesh,Jalgaon,Erandol,Anandnagar
L1786,F1132,Cotton,Ajeet-155 Bt,9.97,8797.33,"Good staple length Cotton, hand-picked, low trash content, ready for ginning.",2024-10-04,2026-05-07,Khandesh,Nandurbar,Navapur,Chinchpada
L1787,F1133,Jowar,CSH-16,9.13,5798.8,"Quality Jowar lot from this season, well-dried and properly sorted.",2024-10-07,2026-07-26,Western Maharashtra (Desh),Pune,Ambegaon,Ahupe
L1788,F1134,Jowar,Phule Vasudha,18.46,3690.86,"Healthy Jowar yield this season, sorted and free of visible damage.",2025-10-17,2026-05-30,Western Maharashtra (Desh),Pune,Maval,Adhale Bk.
L1789,F1135,Cotton,Suraj Bt,6.21,8711.53,"Good staple length Cotton, hand-picked, low trash content, ready for ginning.",2025-12-11,2026-07-26,Vidarbha,Akola,Akot,Akoli Jahangir
L1790,F1135,Soybean,MAUS 71,4.13,6962.0,"Quality Soybean lot from this season, well-dried and properly sorted.",2025-10-19,2026-05-21,Vidarbha,Akola,Akot,Akoli Jahangir
L1791,F1136,Soybean,JS 335,7.15,5591.64,"Quality Soybean lot from this season, well-dried and properly sorted.",2025-12-01,2026-06-26,Vidarbha,Wardha,Arvi,Rohna
L1792,F1137,Rice,Kolam,23.38,4805.8,"Freshly harvested Rice, good grade, cleaned and ready for pickup.",2024-10-24,2026-07-07,Vidarbha,Gadchiroli,Dhanora,Murumgaon
L1793,F1138,Banana,Ardhapuri,0.38,2325.69,"Freshly harvested Banana, good grade, cleaned and ready for pickup.",2026-04-23,2026-05-14,Khandesh,Jalgaon,Muktainagar,Anturli
L1794,F1139,Cotton,DCH-32,10.48,8876.48,"Good staple length Cotton, hand-picked, low trash content, ready for ginning.",2025-11-08,2026-06-14,Vidarbha,Yavatmal,Darwha,Ladkhed
L1795,F1140,Tur,ICPL-87,8.07,6512.53,"Quality Tur lot from this season, well-dried and properly sorted.",2025-11-11,2026-07-26,Vidarbha,Gadchiroli,Kurkheda,Malewada
L1796,F1141,Cotton,Ajeet-155 Bt,5.28,8307.33,"Good staple length Cotton, hand-picked, low trash content, ready for ginning.",2024-10-18,2026-07-16,Khandesh,Nandurbar,Navapur,Chinchpada
L1797,F1141,Cotton,DCH-32,14.84,8561.79,"Good staple length Cotton, hand-picked, low trash content, ready for ginning.",2024-12-29,2026-05-25,Khandesh,Nandurbar,Navapur,Chinchpada
L1798,F1142,Jowar,Maldandi,15.08,4019.79,"Freshly harvested Jowar, good grade, cleaned and ready for pickup.",2024-10-12,2026-06-25,Vidarbha,Yavatmal,Ner,Sonwadhona
L1799,F1143,Soybean,MACS 1281,5.5,6591.24,"Well-graded Soybean, stored in dry conditions, ready for immediate sale.",2024-12-21,2026-07-28,Vidarbha,Wardha,Seloo,Akoli
L1800,F1144,Rice,IR-64,4.77,4813.08,"Rice harvest, medium-to-large grade, minimal moisture, farm-fresh.",2024-12-19,2026-07-26,Vidarbha,Gondia,Salekasa,Pipariya
L1801,F1145,Jowar,Phule Yashoda,7.1,5030.38,"Quality Jowar lot from this season, well-dried and properly sorted.",2025-10-22,2026-05-30,Western Maharashtra (Desh),Pune,Pune City,Keshavnagar-Mundwa
L1802,F1146,Soybean,MAUS 71,3.66,6776.2,"Freshly harvested Soybean, good grade, cleaned and ready for pickup.",2024-11-21,2026-01-22,Khandesh,Nashik,Dindori,Dindori
L1803,F1146,Groundnut,JL-24,10.3,7537.37,"Freshly harvested Groundnut, good grade, cleaned and ready for pickup.",2025-10-09,2026-04-23,Khandesh,Nashik,Dindori,Dindori
L1804,F1147,Cotton,Ajeet-155 Bt,17.18,8356.6,"Good staple length Cotton, hand-picked, low trash content, ready for ginning.",2025-12-16,2026-07-17,Khandesh,Nandurbar,Navapur,Chinchpada
L1805,F1147,Cotton,DCH-32,9.52,8668.71,"Good staple length Cotton, hand-picked, low trash content, ready for ginning.",2025-10-30,2026-06-21,Khandesh,Nandurbar,Navapur,Chinchpada
L1806,F1148,Tur,Vipula,7.78,6324.64,"Tur harvest, medium-to-large grade, minimal moisture, farm-fresh.",2025-12-07,2026-07-02,Vidarbha,Washim,Risod,Wakad
L1807,F1149,Sugarcane,Co 86032,127.49,553.23,"Sweet, high-brix Sugarcane, freshly cut, ready for mill delivery.",2024-12-31,2026-06-29,Western Maharashtra (Desh),Satara,Jaoli,Alewadi
L1808,F1150,Banana,Ardhapuri,4.76,2409.85,"Banana harvest, medium-to-large grade, minimal moisture, farm-fresh.",2025-01-19,2026-07-24,Khandesh,Jalgaon,Parola,Ambapimpri
L1809,F1151,Groundnut,SB-11,10.28,7335.79,"Freshly harvested Groundnut, good grade, cleaned and ready for pickup.",2024-10-25,2026-06-30,Vidarbha,Bhandara,Lakhani,Lakhani
L1810,F1152,Wheat,Sharbati,9.0,3073.85,"Quality Wheat lot from this season, well-dried and properly sorted.",2025-04-30,2026-08-04,Western Maharashtra (Desh),Pune,Bhor,Sangamner
L1811,F1153,Sugarcane,Phule 265,141.41,453.89,"Sweet, high-brix Sugarcane, freshly cut, ready for mill delivery.",2025-02-20,2026-08-06,Western Maharashtra (Desh),Solapur,Sangole,Gheradi
L1812,F1153,Sugarcane,Co 740,122.24,443.98,"Sweet, high-brix Sugarcane, freshly cut, ready for mill delivery.",2025-11-20,2026-07-04,Western Maharashtra (Desh),Solapur,Sangole,Gheradi
L1813,F1154,Tur,ICPL-87,16.72,7000.03,"Freshly harvested Tur, good grade, cleaned and ready for pickup.",2025-12-27,2026-06-17,Vidarbha,Gondia,Gondia,Aasoli
L1814,F1155,Tur,BSMR-736,14.14,6939.77,"Quality Tur lot from this season, well-dried and properly sorted.",2024-11-11,2026-06-24,Vidarbha,Gadchiroli,Armori,Arsoda
L1815,F1155,Tur,BSMR-736,16.43,7803.77,"Healthy Tur yield this season, sorted and free of visible damage.",2024-10-13,2026-05-26,Vidarbha,Gadchiroli,Armori,Arsoda
L1816,F1156,Cotton,Ajeet-155 Bt,17.41,8727.49,"Good staple length Cotton, hand-picked, low trash content, ready for ginning.",2025-10-25,2026-05-24,Vidarbha,Amravati,Anjangaon-Surji,Sategaon
L1817,F1157,Maize,Ganga Safed-2,17.52,2247.59,"Well-graded Maize, stored in dry conditions, ready for immediate sale.",2025-11-26,2026-08-01,Khandesh,Jalgaon,Yawal,Adgaon
L1818,F1158,Cotton,RCH-2 Bt,12.26,8776.99,"Good staple length Cotton, hand-picked, low trash content, ready for ginning.",2024-11-09,2026-05-12,Khandesh,Jalgaon,Erandol,Adgaon
L1819,F1159,Jowar,CSH-16,12.17,4672.13,"Well-graded Jowar, stored in dry conditions, ready for immediate sale.",2025-12-20,2026-06-29,Western Maharashtra (Desh),Solapur,Akkalkot,Karajagi
L1820,F1159,Jowar,Phule Vasudha,19.46,3829.24,"Freshly harvested Jowar, good grade, cleaned and ready for pickup.",2024-12-28,2026-08-13,Western Maharashtra (Desh),Solapur,Akkalkot,Karajagi
L1821,F1160,Tur,BDN-711,1.92,7369.83,"Quality Tur lot from this season, well-dried and properly sorted.",2025-12-01,2026-06-07,Vidarbha,Gadchiroli,Chamorshi,Kunghada Raiyyatwari
L1822,F1161,Soybean,JS 20-29,1.32,6883.62,"Freshly harvested Soybean, good grade, cleaned and ready for pickup.",2025-10-21,2026-07-31,Vidarbha,Yavatmal,Zari Jamani,Jamani
L1823,F1162,Tur,BDN-711,11.27,6942.08,"Quality Tur lot from this season, well-dried and properly sorted.",2025-11-06,2026-05-24,Vidarbha,Gadchiroli,Korchi,Kotgul
L1824,F1163,Bajra,Saburi,12.77,4172.24,"Bajra harvest, medium-to-large grade, minimal moisture, farm-fresh.",2025-12-14,2026-06-28,Western Maharashtra (Desh),Ahilyanagar (Ahmednagar),Parner,Nighoj
L1825,F1163,Wheat,Tapovan (NIAW-917),4.24,3110.84,"Wheat harvest, medium-to-large grade, minimal moisture, farm-fresh.",2026-04-04,2026-07-31,Western Maharashtra (Desh),Ahilyanagar (Ahmednagar),Parner,Nighoj
L1826,F1164,Sugarcane,CoVSI 09292,110.85,404.56,"Sweet, high-brix Sugarcane, freshly cut, ready for mill delivery.",2025-02-10,2026-06-03,Western Maharashtra (Desh),Solapur,Solapur South,Achegaon
L1827,F1165,Tur,Vipula,2.36,7713.94,"Healthy Tur yield this season, sorted and free of visible damage.",2025-12-08,2026-07-18,Vidarbha,Gondia,Deori,Chichgad
L1828,F1165,Rice,Indrayani,20.68,4008.71,"Healthy Rice yield this season, sorted and free of visible damage.",2024-12-21,2026-08-09,Vidarbha,Gondia,Deori,Chichgad
L1829,F1166,Rice,IR-64,22.57,4285.61,"Healthy Rice yield this season, sorted and free of visible damage.",2025-12-14,2026-07-12,Vidarbha,Gondia,Tiroda,Wadegaon
L1830,F1167,Cotton,DCH-32,18.4,8615.23,"Good staple length Cotton, hand-picked, low trash content, ready for ginning.",2025-10-13,2026-07-13,Western Maharashtra (Desh),Ahilyanagar (Ahmednagar),Parner,Parner
L1831,F1168,Soybean,JS 9560,9.08,6549.26,"Well-graded Soybean, stored in dry conditions, ready for immediate sale.",2024-12-06,2026-06-02,Vidarbha,Buldhana,Buldhana,Deulghat
L1832,F1169,Bajra,Shraddha,2.58,3724.85,"Healthy Bajra yield this season, sorted and free of visible damage.",2024-10-27,2026-05-16,Western Maharashtra (Desh),Ahilyanagar (Ahmednagar),Kopargaon,Suregaon
L1833,F1170,Soybean,JS 20-29,7.49,5799.16,"Healthy Soybean yield this season, sorted and free of visible damage.",2024-10-11,2026-04-25,Vidarbha,Buldhana,Sangrampur,Sonala
L1834,F1171,Tur,Vipula,12.59,8267.43,"Tur harvest, medium-to-large grade, minimal moisture, farm-fresh.",2024-11-05,2026-07-26,Vidarbha,Buldhana,Sindkhed Raja,Adgaon Raja
L1835,F1172,Wheat,Lokwan,17.86,2222.66,"Well-graded Wheat, stored in dry conditions, ready for immediate sale.",2025-02-14,2026-07-30,Vidarbha,Amravati,Dhamangaon,Talegaon Dashasar
L1836,F1173,Sugarcane,Phule 265,92.91,411.12,"Sweet, high-brix Sugarcane, freshly cut, ready for mill delivery.",2025-02-21,2026-07-15,Western Maharashtra (Desh),Sangli,Atpadi,Ambewadi
L1837,F1174,Sugarcane,Phule 265,94.0,366.3,"Sweet, high-brix Sugarcane, freshly cut, ready for mill delivery.",2025-10-23,2026-01-14,Vidarbha,Bhandara,Pauni,Akot
L1838,F1175,Soybean,JS 20-29,11.23,4847.54,"Soybean harvest, medium-to-large grade, minimal moisture, farm-fresh.",2025-10-02,2026-05-04,Vidarbha,Amravati,Morshi,Nerpingalai
L1839,F1176,Maize,African Tall,15.18,1985.08,"Freshly harvested Maize, good grade, cleaned and ready for pickup.",2024-12-14,2026-08-25,Khandesh,Nashik,Niphad,Pimpri
L1840,F1176,Maize,African Tall,5.72,2500.35,"Well-graded Maize, stored in dry conditions, ready for immediate sale.",2024-12-13,2026-06-07,Khandesh,Nashik,Niphad,Pimpri
L1841,F1177,Soybean,MAUS 71,3.55,6792.12,"Quality Soybean lot from this season, well-dried and properly sorted.",2025-10-16,2026-07-21,Vidarbha,Buldhana,Deulgaon Raja,Andhera
L1842,F1178,Cotton,Suraj Bt,1.8,8370.88,"Good staple length Cotton, hand-picked, low trash content, ready for ginning.",2025-12-08,2026-05-27,Western Maharashtra (Desh),Solapur,Akkalkot,Chapalgaon
L1843,F1179,Jowar,Phule Vasudha,7.23,5765.55,"Well-graded Jowar, stored in dry conditions, ready for immediate sale.",2025-10-28,2026-07-31,Western Maharashtra (Desh),Pune,Baramati,Ambi Bk.
L1844,F1179,Sugarcane,CoM 0265,69.06,571.73,"Sweet, high-brix Sugarcane, freshly cut, ready for mill delivery.",2025-11-22,2026-07-29,Western Maharashtra (Desh),Pune,Baramati,Ambi Bk.
L1845,F1180,Groundnut,Phule Unnati,3.66,7099.68,"Groundnut harvest, medium-to-large grade, minimal moisture, farm-fresh.",2024-12-28,2026-05-25,Western Maharashtra (Desh),Satara,Satara,Agudewadi
L1846,F1181,Jowar,CSH-16,7.71,5474.52,"Freshly harvested Jowar, good grade, cleaned and ready for pickup.",2024-12-30,2026-06-11,Vidarbha,Wardha,Karanja,Borgaon Dhole
L1847,F1181,Cotton,DCH-32,11.35,9470.51,"Good staple length Cotton, hand-picked, low trash content, ready for ginning.",2025-10-12,2026-06-02,Vidarbha,Wardha,Karanja,Borgaon Dhole
L1848,F1182,Bajra,ICTP-8203,2.63,2902.06,"Quality Bajra lot from this season, well-dried and properly sorted.",2025-11-18,2026-05-03,Khandesh,Dhule,Sakri,Pimpalner
L1849,F1182,Maize,Karveer,10.26,2030.16,"Freshly harvested Maize, good grade, cleaned and ready for pickup.",2025-10-15,2026-07-13,Khandesh,Dhule,Sakri,Pimpalner
L1850,F1183,Jowar,CSH-25,6.51,4014.39,"Quality Jowar lot from this season, well-dried and properly sorted.",2024-12-24,2026-08-06,Khandesh,Dhule,Sindkheda,Chimthane
L1851,F1184,Soybean,JS 9560,9.68,6767.1,"Well-graded Soybean, stored in dry conditions, ready for immediate sale.",2025-12-23,2026-06-28,Western Maharashtra (Desh),Kolhapur,Karvir,Amashi
L1852,F1184,Rice,IR-64,1.11,5053.99,"Healthy Rice yield this season, sorted and free of visible damage.",2025-10-23,2026-08-23,Western Maharashtra (Desh),Kolhapur,Karvir,Amashi
L1853,F1184,Soybean,JS 335,8.18,5386.24,"Well-graded Soybean, stored in dry conditions, ready for immediate sale.",2024-12-30,2026-05-25,Western Maharashtra (Desh),Kolhapur,Karvir,Amashi
L1854,F1185,Sugarcane,Co 86032,19.72,331.45,"Sweet, high-brix Sugarcane, freshly cut, ready for mill delivery.",2025-12-22,2026-07-25,Khandesh,Nandurbar,Shahada,Asalod
L1855,F1186,Jowar,Phule Vasudha,11.17,5545.29,"Jowar harvest, medium-to-large grade, minimal moisture, farm-fresh.",2025-11-22,2026-07-06,Vidarbha,Chandrapur,Bramhapuri,Adyal Tukum
L1856,F1187,Cotton,RCH-2 Bt,13.72,8956.24,"Good staple length Cotton, hand-picked, low trash content, ready for ginning.",2024-12-02,2026-07-10,Vidarbha,Wardha,Deoli,Gunjkheda
L1857,F1187,Wheat,Lokwan,6.02,2686.61,"Quality Wheat lot from this season, well-dried and properly sorted.",2025-03-27,2026-06-28,Vidarbha,Wardha,Deoli,Gunjkheda
L1858,F1187,Cotton,Ajeet-155 Bt,17.57,8615.96,"Good staple length Cotton, hand-picked, low trash content, ready for ginning.",2025-12-26,2026-05-03,Vidarbha,Wardha,Deoli,Gunjkheda
L1859,F1188,Wheat,NIAW-34,16.09,3126.57,"Freshly harvested Wheat, good grade, cleaned and ready for pickup.",2026-04-15,2026-06-26,Western Maharashtra (Desh),Ahilyanagar (Ahmednagar),Kopargaon,Kokamthan
L1860,F1188,Wheat,Tapovan (NIAW-917),10.41,2460.13,"Quality Wheat lot from this season, well-dried and properly sorted.",2025-04-14,2026-07-12,Western Maharashtra (Desh),Ahilyanagar (Ahmednagar),Kopargaon,Kokamthan
L1861,F1189,Jowar,CSH-16,10.61,5348.71,"Healthy Jowar yield this season, sorted and free of visible damage.",2025-12-18,2026-05-30,Western Maharashtra (Desh),Solapur,Mohol,Angar
L1862,F1190,Wheat,Tapovan (NIAW-917),15.54,3071.17,"Quality Wheat lot from this season, well-dried and properly sorted.",2026-02-15,2026-07-29,Western Maharashtra (Desh),Solapur,Akkalkot,Jeur
L1863,F1191,Cotton,RCH-2 Bt,17.07,8447.94,"Good staple length Cotton, hand-picked, low trash content, ready for ginning.",2025-10-26,2026-06-16,Vidarbha,Yavatmal,Mahagaon,Fulsawangi
L1864,F1191,Jowar,CSH-25,16.31,6055.48,"Well-graded Jowar, stored in dry conditions, ready for immediate sale.",2024-10-14,2026-07-04,Vidarbha,Yavatmal,Mahagaon,Fulsawangi
L1865,F1192,Cotton,DCH-32,15.74,9218.8,"Good staple length Cotton, hand-picked, low trash content, ready for ginning.",2024-10-26,2026-05-30,Khandesh,Jalgaon,Bhadgaon,Achalgaon
L1866,F1193,Cotton,RCH-2 Bt,12.22,9212.01,"Good staple length Cotton, hand-picked, low trash content, ready for ginning.",2024-12-04,2026-07-02,Western Maharashtra (Desh),Solapur,Sangole,Mahud Bk.
L1867,F1194,Sugarcane,CoM 0265,89.03,432.96,"Sweet, high-brix Sugarcane, freshly cut, ready for mill delivery.",2026-02-09,2026-08-07,Western Maharashtra (Desh),Pune,Baramati,Anjangaon
L1868,F1195,Maize,DHM-117,5.07,2098.78,"Freshly harvested Maize, good grade, cleaned and ready for pickup.",2025-11-27,2026-06-05,Khandesh,Dhule,Dhule,Kusumbe
L1869,F1196,Soybean,JS 335,12.5,6232.18,"Quality Soybean lot from this season, well-dried and properly sorted.",2024-11-14,2026-05-02,Khandesh,Nandurbar,Akkalkuwa,Bhagdari
L1870,F1196,Cotton,Ajeet-155 Bt,16.69,9348.02,"Good staple length Cotton, hand-picked, low trash content, ready for ginning.",2024-10-24,2026-06-21,Khandesh,Nandurbar,Akkalkuwa,Bhagdari
L1871,F1197,Cotton,Suraj Bt,3.53,8617.41,"Good staple length Cotton, hand-picked, low trash content, ready for ginning.",2024-10-06,2026-05-21,Vidarbha,Amravati,Achalpur,Kandali
L1872,F1198,Cotton,RCH-2 Bt,17.99,9033.46,"Good staple length Cotton, hand-picked, low trash content, ready for ginning.",2025-11-27,2026-06-22,Vidarbha,Amravati,Chandurbazar,Shirajgaon Kasba
L1873,F1198,Cotton,RCH-2 Bt,1.14,9209.55,"Good staple length Cotton, hand-picked, low trash content, ready for ginning.",2024-10-03,2026-06-19,Vidarbha,Amravati,Chandurbazar,Shirajgaon Kasba
L1874,F1199,Cotton,Bt Cotton (Bollgard II hybrid),11.74,8491.47,"Good staple length Cotton, hand-picked, low trash content, ready for ginning.",2025-10-31,2026-05-18,Vidarbha,Yavatmal,Ner,Sonwadhona
L1875,F1199,Cotton,Bt Cotton (Bollgard II hybrid),12.81,9157.5,"Good staple length Cotton, hand-picked, low trash content, ready for ginning.",2025-10-13,2026-05-19,Vidarbha,Yavatmal,Ner,Sonwadhona
L1876,F1199,Wheat,Sharbati,15.26,2743.99,"Healthy Wheat yield this season, sorted and free of visible damage.",2026-02-04,2026-07-08,Vidarbha,Yavatmal,Ner,Sonwadhona
L1877,F1200,Tur,Phule Rajeshwari,10.02,7712.14,"Well-graded Tur, stored in dry conditions, ready for immediate sale.",2025-12-13,2026-07-05,Vidarbha,Buldhana,Sangrampur,Bawanbir
L1878,F1201,Rice,Kolam,2.88,4343.22,"Quality Rice lot from this season, well-dried and properly sorted.",2025-10-19,2026-06-23,Vidarbha,Gondia,Tiroda,Wadegaon
L1879,F1201,Rice,Kolam,1.34,4915.05,"Well-graded Rice, stored in dry conditions, ready for immediate sale.",2024-10-23,2026-06-29,Vidarbha,Gondia,Tiroda,Wadegaon
L1880,F1202,Tur,BDN-711,3.05,7905.41,"Quality Tur lot from this season, well-dried and properly sorted.",2024-10-05,2026-04-20,Vidarbha,Gadchiroli,Aheri,Allapalli
L1881,F1203,Jowar,Phule Vasudha,8.27,4153.84,"Freshly harvested Jowar, good grade, cleaned and ready for pickup.",2025-10-28,2026-06-29,Western Maharashtra (Desh),Pune,Mulshi,Admal
L1882,F1204,Cotton,Suraj Bt,1.23,8955.39,"Good staple length Cotton, hand-picked, low trash content, ready for ginning.",2025-12-28,2026-06-07,Khandesh,Jalgaon,Pachora,Akhatwade
L1883,F1205,Bajra,Shraddha,18.75,2518.04,"Healthy Bajra yield this season, sorted and free of visible damage.",2024-10-05,2026-06-19,Western Maharashtra (Desh),Pune,Mulshi,Admal
L1884,F1206,Sugarcane,Co 740,120.22,370.93,"Sweet, high-brix Sugarcane, freshly cut, ready for mill delivery.",2025-11-04,2026-04-07,Western Maharashtra (Desh),Pune,Junnar,Ajanawale
L1885,F1207,Cotton,Ajeet-155 Bt,7.85,8791.12,"Good staple length Cotton, hand-picked, low trash content, ready for ginning.",2024-10-02,2026-07-31,Vidarbha,Buldhana,Motala,Dhamangaon Badhe
L1886,F1208,Soybean,MACS 1281,10.04,5519.87,"Well-graded Soybean, stored in dry conditions, ready for immediate sale.",2024-10-13,2026-05-20,Vidarbha,Yavatmal,Arni,Anjargaon
L1887,F1209,Cotton,RCH-2 Bt,3.59,9446.38,"Good staple length Cotton, hand-picked, low trash content, ready for ginning.",2024-10-04,2026-07-08,Vidarbha,Amravati,Bhatkuli,Asara
L1888,F1210,Maize,DHM-117,12.69,1962.63,"Well-graded Maize, stored in dry conditions, ready for immediate sale.",2024-12-23,2026-08-19,Khandesh,Jalgaon,Dharangaon,Ahire Kh.
L1889,F1211,Wheat,Sharbati,4.04,2309.16,"Freshly harvested Wheat, good grade, cleaned and ready for pickup.",2026-04-14,2026-05-21,Western Maharashtra (Desh),Ahilyanagar (Ahmednagar),Shrirampur,Takalibhan
L1890,F1212,Groundnut,Phule Unnati,17.81,7637.71,"Quality Groundnut lot from this season, well-dried and properly sorted.",2025-10-19,2026-07-11,Khandesh,Nashik,Kalwan,Kalwan Khu
L1891,F1213,Wheat,Tapovan (NIAW-917),16.05,3198.79,"Quality Wheat lot from this season, well-dried and properly sorted.",2025-04-14,2026-06-23,Vidarbha,Wardha,Karanja,Botona
L1892,F1213,Tur,Phule Rajeshwari,16.35,8218.15,"Well-graded Tur, stored in dry conditions, ready for immediate sale.",2025-10-01,2026-06-26,Vidarbha,Wardha,Karanja,Botona
L1893,F1213,Wheat,NIAW-34,6.82,2607.06,"Wheat harvest, medium-to-large grade, minimal moisture, farm-fresh.",2025-03-01,2026-08-07,Vidarbha,Wardha,Karanja,Botona
L1894,F1214,Soybean,MAUS 71,17.28,6940.55,"Soybean harvest, medium-to-large grade, minimal moisture, farm-fresh.",2024-10-24,2026-08-12,Vidarbha,Chandrapur,Chimur,Ajgaon
L1895,F1215,Tur,BDN-711,3.74,6416.49,"Quality Tur lot from this season, well-dried and properly sorted.",2025-10-11,2026-06-12,Vidarbha,Buldhana,Mehkar,Dongaon
L1896,F1215,Tur,BDN-711,12.08,6701.71,"Quality Tur lot from this season, well-dried and properly sorted.",2025-11-30,2026-04-22,Vidarbha,Buldhana,Mehkar,Dongaon
L1897,F1216,Rice,Ambemohar,17.19,4215.13,"Freshly harvested Rice, good grade, cleaned and ready for pickup.",2025-11-10,2026-08-26,Khandesh,Nashik,Chandwad,Pattharsenbe
L1898,F1216,Rice,Ambemohar,23.15,4299.55,"Well-graded Rice, stored in dry conditions, ready for immediate sale.",2024-12-23,2026-03-17,Khandesh,Nashik,Chandwad,Pattharsenbe
L1899,F1217,Wheat,Sharbati,6.14,2544.95,"Healthy Wheat yield this season, sorted and free of visible damage.",2026-04-16,2026-06-30,Vidarbha,Amravati,Chandur,Palaskhed
L1900,F1217,Cotton,DCH-32,3.13,8344.47,"Good staple length Cotton, hand-picked, low trash content, ready for ginning.",2024-10-14,2026-07-18,Vidarbha,Amravati,Chandur,Palaskhed
